name,local-authority
surrey,local-authority-eng:SRY
surrey county,local-authority-eng:SRY
surrey county council,local-authority-eng:SRY
sutton,local-authority-eng:STN
sutton london boro,local-authority-eng:STN
swansea,local-authority-wls:SWA
swindon,local-authority-eng:SWD
swindon borough council,local-authority-eng:SWD
tameside,local-authority-eng:TAM
tameside district,local-authority-eng:TAM
tameside metropolitan borough council,local-authority-eng:TAM
telford and wrekin,local-authority-eng:TFW
telford and wrekin council,local-authority-eng:TFW
the city of brighton and hove,local-authority-eng:BNH
the highland council,local-authority-sct:HLD
the scottish borders,local-authority-sct:SCB
the vale of glamorgan,local-authority-wls:VGL
torbay,local-authority-eng:TOB
torbay council,local-authority-eng:TOB
torfaen,local-authority-wls:TOF
torfaen county borough council,local-authority-wls:TOF
tower hamlets,local-authority-eng:TWH
tower hamlets london boro,local-authority-eng:TWH
trafford,local-authority-eng:TRF
trafford council,local-authority-eng:TRF
trafford district,local-authority-eng:TRF
vale of glamorgan,local-authority-wls:VGL
vale of glamorgan council,local-authority-wls:VGL
wakefield,local-authority-eng:WKF
wakefield district,local-authority-eng:WKF
wakefield metropolitan district council,local-authority-eng:WKF
walsall,local-authority-eng:WLL
walsall council,local-authority-eng:WLL
walsall district,local-authority-eng:WLL
waltham forest,local-authority-eng:WFT
waltham forest london boro,local-authority-eng:WFT
wandsworth,local-authority-eng:WND
wandsworth london boro,local-authority-eng:WND
warrington,local-authority-eng:WRT
warrington borough council,local-authority-eng:WRT
west berkshire,local-authority-eng:WBK
west berkshire council,local-authority-eng:WBK
west devon,local-authority-eng:WDE
west devon borough council,local-authority-eng:WDE
west devon district,local-authority-eng:WDE
west dorset,local-authority-eng:WDO
west dorset district,local-authority-eng:WDO
west dorset district council,local-authority-eng:WDO
west dunbartonshire,local-authority-sct:WDU
west dunbartonshire council,local-authority-sct:WDU
west lancashire,local-authority-eng:WLA
west lancashire borough council,local-authority-eng:WLA
west lancashire district,local-authority-eng:WLA
west lindsey,local-authority-eng:WLI
west lindsey district,local-authority-eng:WLI
west lindsey district council,local-authority-eng:WLI
west lothian,local-authority-sct:WLN
west lothian council,local-authority-sct:WLN
west sussex,local-authority-eng:WSX
west sussex county,local-authority-eng:WSX
west sussex county council,local-authority-eng:WSX
western isles,local-authority-sct:ELS
westminster,local-authority-eng:WSM
wigan,local-authority-eng:WGN
wigan council,local-authority-eng:WGN
wigan district,local-authority-eng:WGN
wiltshire,local-authority-eng:WIL
wiltshire council,local-authority-eng:WIL
windsor and maidenhead,local-authority-eng:WNM
wirral,local-authority-eng:WRL
wirral council,local-authority-eng:WRL
wirral district,local-authority-eng:WRL
wokingham,local-authority-eng:WOK
wokingham borough council,local-authority-eng:WOK
wolverhampton,local-authority-eng:WLV
wolverhampton city council,local-authority-eng:WLV
worcester,local-authority-eng:WOC
worcester city,local-authority-eng:WOC
worcester city council,local-authority-eng:WOC
worcester district,local-authority-eng:WOC
worcestershire,local-authority-eng:WOR
worcestershire county,local-authority-eng:WOR
worcestershire county council,local-authority-eng:WOR
wrecsam,local-authority-wls:WRX
wrexham,local-authority-wls:WRX
wrexham county borough council,local-authority-wls:WRX
wyre,local-authority-eng:WYR
wyre council,local-authority-eng:WYR
wyre district,local-authority-eng:WYR
ynys mn,local-authority-wls:AGY
york,local-authority-eng:YOR
westminster city,local-authority-eng:WSM
swansea city council,local-authority-wls:SWA
st helens metropolitan borough council,local-authority-eng:SHN
south buckinghamshire district council,local-authority-eng:SBU
sheffield city region combined authority,local-authority-eng:SCR
reigate & banstead borough council,local-authority-eng:REI
north tyneside metropolitan borough council,local-authority-eng:NTY
newcastle-upon-tyne city council,local-authority-eng:NET
liverpool city region combined authority,local-authority-eng:LCR
kingston-upon-hull city council,local-authority-eng:KHL
king's lynn and west norfolk borough,local-authority-eng:KIN
gwynedd county council,local-authority-wls:GWN
"bournemouth, christchurch and poole borough council",local-authority-eng:BPC
borough of broxbourne,local-authority-eng:BRX
adur and worthing borough council,local-authority-eng:WOT
