entry-number,entry-timestamp,local-authority-eng,local-authority-type,local-authority-type-name,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,gss-code,old-ons-la-code,ualad99
161,2016-10-21T16:11:20Z,BRY,LBO,London borough,London Borough of Bromley,Bromley,,,,E09000006,305,
160,2016-10-21T16:11:20Z,BNE,LBO,London borough,London Borough of Barnet,Barnet,,,,E09000003,302,
159,2016-10-21T16:11:20Z,BEX,LBO,London borough,London Borough of Bexley,Bexley,,,,E09000004,303,
158,2016-10-21T16:11:20Z,BEN,LBO,London borough,London Borough of Brent,Brent,,,,E09000005,304,
157,2016-10-21T16:11:20Z,BDG,LBO,London borough,London Borough of Barking and Dagenham,Barking and Dagenham,Barking & Dagenham,,,E09000002,301,
156,2016-10-21T16:11:20Z,WEA,NMD,Non-metropolitan district,Wealden District Council,Wealden,,,,E07000065,21UH,
155,2016-10-21T16:11:20Z,ROH,NMD,Non-metropolitan district,Rother District Council,Rother,,,,E07000064,21UG,
154,2016-10-21T16:11:20Z,LEE,NMD,Non-metropolitan district,Lewes District Council,Lewes,,,,E07000063,21UF,
153,2016-10-21T16:11:20Z,HAS,NMD,Non-metropolitan district,Hastings Borough Council,Hastings,,,,E07000062,21UD,
152,2016-10-21T16:11:20Z,EAS,NMD,Non-metropolitan district,Eastbourne Borough Council,Eastbourne,,,,E07000061,21UC,
151,2016-10-21T16:11:20Z,ESX,CTY,County,East Sussex County Council,East Sussex,,,,E10000011,845,21-00
150,2016-10-21T16:11:20Z,UTT,NMD,Non-metropolitan district,Uttlesford District Council,Uttlesford,,,,E07000077,22UQ,
149,2016-10-21T16:11:20Z,TEN,NMD,Non-metropolitan district,Tendring District Council,Tendring,,,,E07000076,22UN,
148,2016-10-21T16:11:20Z,ROC,NMD,Non-metropolitan district,Rochford District Council,Rochford,,,,E07000075,22UL,
147,2016-10-21T16:11:20Z,MAL,NMD,Non-metropolitan district,Maldon District Council,Maldon,,,,E07000074,22UK,
146,2016-10-21T16:11:20Z,HAR,NMD,Non-metropolitan district,Harlow District Council,Harlow,,,,E07000073,22UJ,
145,2016-10-21T16:11:20Z,EPP,NMD,Non-metropolitan district,Epping Forest District Council,Epping Forest,,,,E07000072,22UH,
