Register,local-authority-code,register-and-code,local-authority-type,local-authority-type-name,overlapping-la,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,end-date,gss-code,archaic-gss-code,old-ons-la-code,ofcom,snac,os,ecode,notes
local-authority-eng,NWL,local-authority-eng:NWL,NMD,Non-metropolitan district,LIN,North West Leicestershire District Council,North West Leicestershire,,,,,E07000134,,31UH,,31UH,7000000000023610,E2437,
local-authority-eng,MEL,local-authority-eng:MEL,NMD,Non-metropolitan district,LEC,Melton Borough Council,Melton,,,,,E07000133,,31UG,,31UG,7000000000023350,E2436,
local-authority-eng,HIN,local-authority-eng:HIN,NMD,Non-metropolitan district,LEC,Hinckley and Bosworth Borough Council,Hinckley and Bosworth,Hinckley & Bosworth,,,,E07000132,,31UE,,31UE,7000000000023550,E2434,
local-authority-eng,HAO,local-authority-eng:HAO,NMD,Non-metropolitan district,LEC,Harborough District Council,Harborough,,,,,E07000131,,31UD,,31UD,7000000000023270,E2433,
local-authority-eng,CHA,local-authority-eng:CHA,NMD,Non-metropolitan district,LEC,Charnwood Borough Council,Charnwood,,,,,E07000130,,31UC,,31UC,7000000000023450,E2432,
local-authority-eng,BLA,local-authority-eng:BLA,NMD,Non-metropolitan district,LEC,Blaby District Council,Blaby,,,,,E07000129,,31UB,,31UB,7000000000023580,E2431,
local-authority-eng,LEC,local-authority-eng:LEC,CTY,County,,Leicestershire County Council,Leicestershire,,,,,E10000018,,855,31-00,31,7000000000023420,E2421,
local-authority-eng,WYR,local-authority-eng:WYR,NMD,Non-metropolitan district,LAN,Wyre Borough Council,Wyre,,,,,E07000128,,30UQ,,30UQ,7000000000004920,E2344,
local-authority-eng,WLA,local-authority-eng:WLA,NMD,Non-metropolitan district,LAN,West Lancashire Borough Council,West Lancashire,,,,,E07000127,,30UP,,30UP,7000000000004910,E2343,
local-authority-eng,SRI,local-authority-eng:SRI,NMD,Non-metropolitan district,LAN,South Ribble Borough Council,South Ribble,,,,,E07000126,,30UN,,30UN,7000000000004830,E2342,
local-authority-eng,ROS,local-authority-eng:ROS,NMD,Non-metropolitan district,LEC,Rossendale Borough Council,Rossendale,,,,,E07000125,,30UM,,30UM,7000000000004570,E2341,
local-authority-eng,RIB,local-authority-eng:RIB,NMD,Non-metropolitan district,LEC,Ribble Valley Borough Council,Ribble Valley,,,,,E07000124,,30UL,,30UL,7000000000004710,E2340,
local-authority-eng,PRE,local-authority-eng:PRE,NMD,Non-metropolitan district,LAN,Preston City Council,Preston,,,,,E07000123,,30UK,,30UK,7000000000004850,E2339,
local-authority-eng,PEN,local-authority-eng:PEN,NMD,Non-metropolitan district,LEC,Pendle Borough Council,Pendle,,,,,E07000122,,30UJ,,30UJ,7000000000043740,E2338,
local-authority-eng,LAC,local-authority-eng:LAC,NMD,Non-metropolitan district,LEC,Lancaster City Council,Lancaster,,,,,E07000121,,30UH,,30UH,7000000000004920,E2337,
local-authority-eng,HYN,local-authority-eng:HYN,NMD,Non-metropolitan district,LEC,Hyndburn Borough Council,Hyndburn,,,,,E07000120,,30UG,,30UG,7000000000004620,E2336,
local-authority-eng,FYL,local-authority-eng:FYL,NMD,Non-metropolitan district,LAN,Fylde Borough Council,Fylde,,,,,E07000119,,30UF,,30UF,7000000000004980,E2335,
