name,local-authority,,
newcastle-under-lyme district,local-authority-eng:NED,NED,NED
newcastle-under-lyme district council,local-authority-eng:NED,NED,NED
newham,local-authority-eng:NWM,NWM,NWM
newham london boro,local-authority-eng:NWM,NWM,NWM
newport,local-authority-wls:NWP,NWP,NWP
newport city council,local-authority-wls:NWP,NWP,NWP
"newry, mourne and down",local-authority-nir:NMD,NMD,NMD
norfolk,local-authority-eng:NFK,NFK,NFK
norfolk county,local-authority-eng:NFK,NFK,NFK
norfolk county council,local-authority-eng:NFK,NFK,NFK
north ayrshire,local-authority-sct:NAY,NAY,NAY
north ayrshire council,local-authority-sct:NAY,NAY,NAY
north devon,local-authority-eng:NDE,NDE,NDE
north devon council,local-authority-eng:NDE,NDE,NDE
north devon district,local-authority-eng:NDE,NDE,NDE
north dorset,local-authority-eng:NDO,NDO,NDO
north dorset district,local-authority-eng:NDO,NDO,NDO
north dorset district council,local-authority-eng:NDO,NDO,NDO
north down and ards,local-authority-nir:AND,AND,AND
north east lincolnshire,local-authority-eng:NEL,NEL,NEL
north east lincolnshire council,local-authority-eng:NEL,NEL,NEL
north lanarkshire,local-authority-sct:NLK,NLK,NLK
north lanarkshire council,local-authority-sct:NLK,NLK,NLK
north lincolnshire,local-authority-eng:NLN,NLN,NLN
north lincolnshire council,local-authority-eng:NLN,NLN,NLN
north somerset,local-authority-eng:NSM,NSM,NSM
north somerset council,local-authority-eng:NSM,NSM,NSM
north tyneside,local-authority-eng:NTY,NTY,NTY
north tyneside council,local-authority-eng:NTY,NTY,NTY
north tyneside district,local-authority-eng:NTY,NTY,NTY
north west leicestershire,local-authority-eng:NWL,NWL,NWL
north west leicestershire district,local-authority-eng:NWL,NWL,NWL
north west leicestershire district council,local-authority-eng:NWL,NWL,NWL
north west somerset,local-authority-eng:NSM,NSM,NSM
north yorkshire,local-authority-eng:NYK,NYK,NYK
north yorkshire county,local-authority-eng:NYK,NYK,NYK
north yorkshire county council,local-authority-eng:NYK,NYK,NYK
northamptonshire,local-authority-eng:NTH,NTH,NTH
northamptonshire county,local-authority-eng:NTH,NTH,NTH
northamptonshire county council,local-authority-eng:NTH,NTH,NTH
northumberland,local-authority-eng:NBL,NBL,NBL
northumberland council,local-authority-eng:NBL,NBL,NBL
nottingham,local-authority-eng:NGM,NGM,NGM
nottingham city,local-authority-eng:NGM,NGM,NGM
nottingham city council,local-authority-eng:NGM,NGM,NGM
nottinghamshire,local-authority-eng:NTT,NTT,NTT
nottinghamshire county,local-authority-eng:NTT,NTT,NTT
nottinghamshire county council,local-authority-eng:NTT,NTT,NTT
oldham,local-authority-eng:OLD,OLD,OLD
oldham district,local-authority-eng:OLD,OLD,OLD
oldham metropolitan borough council,local-authority-eng:OLD,OLD,OLD
orkney,local-authority-sct:ORK,ORK,ORK
orkney islands,local-authority-sct:ORK,ORK,ORK
orkney islands council,local-authority-sct:ORK,ORK,ORK
oxfordshire,local-authority-eng:OXF,OXF,OXF
oxfordshire county,local-authority-eng:OXF,OXF,OXF
oxfordshire county council,local-authority-eng:OXF,OXF,OXF
pembrokeshire,local-authority-wls:PEM,PEM,PEM
pembrokeshire county council,local-authority-wls:PEM,PEM,PEM
pen-y-bont ar ogwr,local-authority-wls:BGE,BGE,BGE
perth and kinross,local-authority-sct:PKN,PKN,PKN
perth and kinross council,local-authority-sct:PKN,PKN,PKN
peterborough,local-authority-eng:PTE,PTE,PTE
peterborough city,local-authority-eng:PTE,PTE,PTE
peterborough city council,local-authority-eng:PTE,PTE,PTE
plymouth,local-authority-eng:PLY,PLY,PLY
plymouth city,local-authority-eng:PLY,PLY,PLY
plymouth city council,local-authority-eng:PLY,PLY,PLY
poole,local-authority-eng:POL,POL,POL
portsmouth,local-authority-eng:POR,POR,POR
portsmouth city council,local-authority-eng:POR,POR,POR
powys,local-authority-wls:POW,POW,POW
